"agep","schg","esr","puma"
17,"14","3","11614"
16,"12","6","11614"
16,"12","6","11613"
17,"13","6","11612"
18,"15","6","11604"
18,"14","6","11612"
18,"15","6","11613"
17,"15","6","11613"
17,"15","6","11604"
17,"13","6","11612"
18,"15","6","11612"
18,"14","6","11613"
16,"13","6","11611"
18,"14","3","11610"
16,"12","6","11614"
17,"13","6","11613"
17,"15","6","11613"
18,"14","6","11613"
16,"12","6","11614"
16,"12","6","11614"
16,"12","6","11610"
16,"12","6","11610"
18,"14","6","11604"
16,"12","6","11613"
18,"15","6","11604"
16,"12","6","11611"
18,"14","3","11611"
16,"12","3","11611"
17,"14","6","11614"
17,"13","6","11613"
18,"14","6","11611"
16,"12","6","11612"
16,"12","6","11614"
16,"12","6","11613"
18,"15","6","11613"
17,"13","6","11612"
18,"14","6","11613"
16,"12","6","11613"
16,"12","6","11613"
16,"12","6","11613"
18,"11","6","11611"
16,"13","6","11612"
16,"13","6","11614"
17,"14","6","11614"
16,"12","3","11612"
18,"14","3","11604"
17,"13","6","11614"
16,"13","6","11614"
16,"13","6","11613"
16,"13","6","11604"
17,"13","6","11611"
16,"12","6","11610"
16,"13","6","11614"
18,"15","6","11611"
18,"12","6","11610"
18,"12","6","11610"
17,"12","6","11610"
17,"12","6","11610"
17,"11","6","11610"
18,"13","3","11612"
17,"13","6","11614"
16,"12","6","11610"
16,"13","6","11610"
18,"14","3","11612"
16,"13","6","11604"
16,"12","6","11614"
18,"15","6","11611"
17,"14","6","11613"
17,"13","6","11613"
17,"13","6","11612"
18,"15","6","11604"
16,"11","6","11613"
18,"14","6","11604"
17,"14","6","11614"
17,"14","6","11604"
17,"13","6","11613"
18,"14","6","11610"
17,"14","6","11613"
18,"14","3","11604"
17,"13","6","11613"
17,"13","6","11610"
18,"14","6","11612"
16,"12","6","11614"
16,"12","6","11613"
18,"14","3","11614"
16,"12","6","11610"
17,"14","6","11612"
17,"13","6","11612"
17,"13","6","11611"
16,"12","6","11611"
16,"12","6","11612"
17,"14","6","11611"
17,"13","6","11612"
17,"15","6","11612"
17,"14","6","11614"
16,"12","6","11611"
18,"14","6","11612"
17,"13","6","11612"
17,"14","6","11613"
17,"13","6","11613"
16,"13","6","11614"
18,"15","3","11610"
16,"12","6","11610"
16,"12","6","11611"
16,"13","6","11613"
16,"12","6","11611"
16,"13","6","11604"
16,"13","6","11604"
17,"13","6","11604"
18,"15","6","11614"
18,"13","6","11604"
16,"11","6","11612"
16,"13","6","11611"
17,"14","3","11612"
17,"13","6","11613"
18,"14","6","11611"
17,"13","6","11614"
17,"12","6","11611"
17,"14","6","11611"
17,"13","6","11611"
18,"15","6","11604"
17,"13","6","11614"
16,"13","6","11610"
16,"13","6","11610"
16,"13","6","11613"
16,"13","6","11613"
17,"14","6","11611"
18,"14","6","11610"
16,"12","6","11613"
16,"13","6","11614"
16,"12","3","11604"
17,"13","6","11614"
17,"13","6","11613"
17,"14","6","11614"
18,"13","6","11614"
16,"13","6","11613"
16,"12","6","11612"
17,"13","6","11611"
17,"14","6","11613"
18,"14","6","11614"
16,"12","6","11612"
16,"12","6","11610"
16,"13","6","11613"
16,"12","6","11604"
16,"13","6","11614"
18,"15","3","11611"
16,"12","6","11613"
16,"13","6","11611"
16,"13","6","11612"
16,"12","6","11613"
16,"12","6","11612"
16,"13","6","11611"
17,"13","6","11613"
17,"13","6","11604"
18,"13","6","11613"
17,"13","6","11604"
16,"12","6","11614"
16,"12","6","11611"
17,"14","6","11611"
17,"14","6","11610"
16,"13","6","11610"
16,"13","6","11613"
16,"12","6","11611"
17,"13","6","11604"
17,"14","3","11612"
18,"15","6","11604"
17,"13","6","11610"
16,"14","6","11612"
17,"14","3","11613"
16,"12","6","11610"
18,"14","6","11614"
17,"14","6","11614"
17,"12","6","11613"
16,"12","6","11613"
16,"12","6","11612"
18,"14","6","11612"
17,"13","6","11612"
16,"12","6","11610"
17,"13","6","11604"
17,"13","6","11613"
17,"11","6","11612"
18,"15","6","11613"
16,"13","6","11613"
18,"14","6","11613"
18,"14","6","11613"
18,"15","6","11613"
18,"14","6","11611"
17,"14","6","11610"
17,"13","3","11612"
16,"12","6","11612"
16,"11","6","11610"
18,"15","6","11614"
16,"11","6","11613"
18,"14","6","11614"
17,"13","6","11611"
16,"13","6","11610"
17,"13","6","11604"
18,"13","6","11614"
16,"12","6","11604"
17,"14","6","11614"
18,"14","6","11612"
18,"13","6","11611"
18,"14","6","11610"
16,"11","6","11614"
18,"13","6","11610"
17,"13","6","11610"
18,"14","6","11613"
17,"14","6","11610"
17,"13","6","11604"
17,"13","6","11614"
18,"15","6","11611"
16,"12","6","11611"
17,"13","6","11614"
17,"14","6","11614"
16,"13","6","11613"
16,"12","6","11610"
18,"14","6","11612"
16,"12","6","11614"
17,"15","6","11612"
18,"14","6","11611"
16,"13","6","11604"
16,"12","6","11610"
16,"13","3","11612"
17,"12","6","11614"
16,"11","6","11611"
17,"11","6","11611"
17,"13","6","11612"
16,"13","6","11604"
17,"14","6","11612"
16,"13","6","11612"
17,"12","6","11614"
17,"13","6","11613"
17,"14","6","11614"
16,"12","6","11612"
17,"13","6","11613"
17,"13","6","11613"
17,"14","3","11614"
17,"14","6","11614"
17,"11","6","11612"
17,"14","6","11614"
17,"13","6","11614"
16,"11","6","11611"
16,"11","6","11611"
16,"11","6","11611"
18,"15","6","11604"
17,"13","6","11610"
18,"13","6","11612"
16,"12","6","11610"
17,"13","6","11613"
16,"12","6","11614"
18,"14","6","11610"
16,"12","6","11611"
18,"15","6","11604"
16,"13","3","11613"
17,"13","6","11613"
18,"15","6","11604"
17,"14","6","11614"
17,"14","6","11612"
16,"13","6","11614"
16,"12","6","11611"
16,"11","6","11613"
16,"12","6","11611"
17,"15","6","11613"
17,"12","6","11614"
16,"13","6","11614"
17,"13","6","11610"
16,"13","6","11614"
16,"13","6","11612"
16,"13","6","11610"
17,"14","6","11613"
16,"13","6","11614"
16,"12","6","11612"
16,"12","6","11604"
17,"13","3","11612"
17,"15","6","11614"
16,"13","6","11610"
17,"13","6","11610"
18,"15","6","11610"
16,"12","6","11612"
16,"13","6","11614"
18,"14","6","11614"
17,"14","6","11614"
17,"13","6","11604"
17,"14","6","11611"
16,"12","6","11611"
18,"14","6","11613"
16,"12","6","11604"
18,"15","3","11604"
16,"12","6","11614"
16,"13","6","11611"
16,"13","6","11612"
16,"12","6","11610"
17,"13","6","11613"
18,"14","6","11610"
16,"12","6","11614"
17,"14","6","11613"
17,"13","6","11613"
18,"15","6","11604"
16,"12","6","11612"
17,"13","6","11614"
16,"13","6","11612"
17,"13","6","11610"
17,"13","6","11610"
16,"13","6","11612"
16,"13","6","11614"
16,"12","6","11614"
16,"12","6","11613"
16,"13","6","11604"
17,"14","6","11610"
17,"13","3","11613"
16,"13","6","11604"
18,"15","6","11612"
17,"13","6","11612"
18,"14","3","11613"
17,"14","6","11613"
18,"14","6","11614"
16,"12","6","11613"
16,"13","3","11612"
16,"12","6","11614"
16,"13","6","11611"
16,"12","6","11610"
18,"15","6","11604"
17,"14","6","11610"
18,"15","6","11604"
17,"14","6","11611"
18,"15","6","11611"
16,"12","6","11612"
17,"14","6","11614"
16,"13","6","11611"
18,"15","3","11604"
17,"13","6","11613"
17,"13","6","11612"
17,"13","6","11612"
17,"14","6","11604"
18,"14","6","11613"
18,"14","6","11604"
18,"14","6","11612"
18,"15","6","11604"
16,"13","6","11604"
18,"15","6","11611"
18,"15","3","11604"
16,"12","6","11611"
18,"14","6","11610"
16,"13","6","11614"
16,"13","6","11610"
17,"14","6","11613"
17,"13","6","11612"
18,"14","3","11614"
16,"13","6","11610"
16,"13","6","11613"
17,"14","6","11604"
16,"13","6","11604"
18,"14","6","11614"
18,"14","6","11612"
16,"13","6","11612"
17,"14","6","11610"
17,"14","6","11610"
17,"13","6","11613"
18,"14","3","11614"
18,"14","6","11604"
17,"13","6","11611"
17,"13","6","11614"
17,"13","6","11611"
18,"14","6","11611"
17,"13","6","11612"
17,"13","6","11614"
16,"13","6","11610"
17,"13","6","11610"
17,"13","6","11614"
18,"14","6","11612"
16,"12","6","11612"
17,"14","6","11611"
16,"13","6","11613"
16,"13","6","11614"
18,"15","6","11604"
16,"13","6","11611"
17,"12","6","11613"
16,"13","6","11610"
16,"12","6","11613"
18,"14","6","11613"
17,"13","6","11613"
16,"13","6","11614"
17,"14","6","11614"
16,"12","6","11613"
16,"13","6","11612"
16,"12","6","11610"
18,"15","6","11604"
18,"14","6","11610"
18,"15","6","11604"
18,"15","6","11604"
16,"13","6","11614"
18,"15","6","11604"
18,"13","6","11614"
17,"13","6","11610"
18,"15","6","11604"
16,"13","6","11610"
17,"13","6","11611"
16,"12","6","11610"
16,"12","6","11610"
17,"14","6","11611"
17,"13","6","11610"
17,"14","6","11611"
17,"14","6","11611"
17,"14","6","11613"
16,"12","6","11611"
16,"12","6","11614"
18,"14","6","11613"
17,"14","6","11610"
18,"15","6","11604"
18,"14","6","11614"
18,"14","6","11610"
17,"14","6","11614"
17,"14","6","11614"
17,"13","6","11614"
18,"15","6","11614"
18,"14","6","11610"
16,"13","6","11610"
16,"13","6","11610"
16,"13","6","11610"
17,"14","6","11611"
18,"12","6","11604"
17,"12","3","11610"
16,"12","6","11610"
17,"13","6","11613"
17,"13","3","11611"
18,"14","6","11612"
17,"13","6","11612"
17,"11","6","11612"
16,"12","6","11610"
18,"14","6","11613"
17,"14","6","11613"
18,"14","6","11610"
17,"13","6","11611"
16,"12","6","11614"
17,"14","6","11614"
17,"13","6","11610"
16,"13","6","11611"
17,"13","6","11613"
17,"13","6","11614"
18,"14","6","11612"
17,"14","6","11612"
16,"13","6","11612"
17,"14","6","11613"
18,"14","6","11612"
16,"12","6","11604"
16,"12","6","11612"
16,"12","6","11612"
16,"15","3","11613"
16,"12","6","11612"
16,"11","6","11612"
16,"13","6","11610"
16,"13","6","11610"
17,"14","6","11612"
18,"14","3","11611"
16,"13","6","11613"
17,"13","6","11612"
16,"13","6","11604"
17,"14","6","11614"
16,"12","6","11614"
17,"14","6","11612"
16,"13","6","11610"
16,"13","3","11611"
17,"14","3","11611"
17,"14","3","11613"
18,"14","3","11604"
17,"12","6","11612"
18,"14","6","11613"
17,"13","6","11614"
16,"12","6","11610"
18,"13","6","11611"
17,"14","6","11610"
17,"14","3","11614"
18,"14","3","11611"
16,"12","3","11613"
17,"13","6","11604"
17,"15","3","11611"
18,"14","6","11610"
16,"13","3","11613"
16,"12","6","11613"
16,"13","6","11613"
16,"13","6","11613"
18,"14","6","11613"
17,"13","6","11612"
17,"14","6","11611"
16,"13","6","11614"
16,"13","6","11611"
16,"13","6","11611"
16,"13","6","11604"
17,"13","6","11611"
16,"13","3","11614"
18,"14","6","11610"
16,"14","6","11610"
17,"14","6","11604"
16,"13","6","11610"
17,"14","3","11613"
16,"12","6","11614"
16,"11","6","11613"
17,"14","6","11613"
17,"13","3","11612"
16,"13","6","11611"
16,"13","6","11614"
17,"14","6","11610"
16,"13","6","11614"
17,"14","6","11604"
18,"13","6","11614"
16,"12","6","11614"
17,"13","6","11611"
18,"14","6","11614"
17,"14","6","11614"
16,"12","6","11611"
17,"14","6","11614"
16,"11","6","11614"
17,"13","6","11613"
16,"13","6","11613"
16,"12","6","11611"
18,"14","6","11614"
17,"14","6","11612"
18,"14","6","11611"
17,"14","6","11612"
17,"14","6","11613"
16,"12","6","11612"
17,"14","6","11613"
16,"13","6","11611"
17,"13","6","11614"
16,"12","6","11610"
16,"13","6","11612"
17,"13","6","11604"
17,"13","6","11610"
17,"14","6","11614"
17,"13","6","11604"
17,"13","6","11604"
16,"13","6","11610"
18,"14","6","11613"
16,"13","6","11613"
17,"13","6","11611"
17,"13","6","11610"
16,"12","6","11610"
16,"12","6","11610"
18,"14","3","11604"
16,"13","6","11612"
17,"14","6","11614"
16,"12","6","11604"
16,"12","6","11612"
16,"13","6","11612"
18,"14","6","11611"
18,"15","6","11611"
17,"14","6","11611"
16,"12","6","11614"
17,"14","6","11604"
17,"13","6","11604"
17,"14","6","11611"
16,"12","6","11614"
18,"14","3","11612"
17,"14","6","11604"
17,"13","6","11611"
17,"13","6","11604"
17,"15","6","11614"
16,"12","6","11613"
16,"12","6","11613"
16,"12","6","11604"
16,"12","6","11613"
16,"11","6","11604"
17,"13","6","11614"
16,"11","6","11614"
17,"15","6","11613"
18,"14","6","11611"
16,"12","6","11613"
18,"13","6","11614"
16,"12","6","11614"
16,"12","6","11613"
17,"14","6","11612"
17,"14","6","11614"
18,"13","6","11611"
18,"14","6","11613"
18,"14","6","11613"
16,"12","6","11614"
18,"14","6","11614"
16,"12","6","11614"
16,"12","6","11611"
18,"14","6","11614"
17,"14","6","11614"
17,"13","6","11614"
18,"14","6","11613"
16,"15","6","11614"
17,"13","6","11613"
17,"15","6","11614"
17,"12","6","11611"
16,"12","6","11610"
17,"14","6","11610"
17,"13","6","11614"
16,"12","6","11614"
17,"14","6","11613"
16,"12","6","11611"
18,"15","6","11604"
17,"14","6","11604"
17,"14","6","11604"
18,"15","6","11604"
18,"15","6","11604"
18,"15","3","11604"
18,"15","6","11604"
16,"12","6","11611"
18,"14","6","11604"
18,"15","3","11604"
18,"14","6","11610"
