"agep","schg","esr","puma","schl"
19,,"6","11604","16"
19,,"6","11611","17"
21,,"3","11611","16"
21,,"3","11612","16"
20,,"6","11613","16"
19,,"6","11612","16"
19,,"6","11610","16"
21,,"3","11612","17"
19,,"6","11614","16"
19,,"6","11611","16"
21,,"6","11610","17"
21,,"6","11610","16"
20,,"3","11611","17"
19,,"3","11610","16"
20,,"6","11614","16"
21,,"6","11614","17"
21,,"6","11611","16"
20,,"3","11614","16"
19,,"3","11610","16"
20,,"6","11611","16"
19,,"6","11604","16"
19,,"6","11614","16"
21,,"3","11610","16"
21,,"6","11611","16"
21,,"6","11614","17"
21,,"3","11611","16"
19,,"6","11613","16"
21,,"6","11612","16"
19,,"6","11604","16"
19,,"6","11612","16"
20,,"6","11613","16"
19,,"6","11613","16"
21,,"6","11611","16"
21,,"3","11610","17"
21,,"3","11610","16"
21,,"6","11604","16"
19,,"3","11613","16"
21,,"6","11611","16"
21,,"3","11610","16"
20,,"6","11614","16"
20,,"6","11613","16"
20,,"6","11604","16"
19,,"3","11614","16"
19,,"3","11612","16"
21,,"3","11614","17"
19,,"3","11604","16"
21,,"6","11613","16"
19,,"3","11613","16"
21,,"6","11611","17"
19,,"6","11612","16"
19,,"6","11604","16"
20,,"3","11614","16"
19,,"3","11611","16"
20,,"3","11613","16"
19,,"6","11610","16"
20,,"6","11614","16"
19,,"6","11611","16"
21,,"6","11611","16"
19,,"6","11612","16"
21,,"6","11612","16"
21,,"6","11612","16"
20,,"3","11610","16"
20,,"3","11611","16"
19,,"3","11612","16"
20,,"3","11612","16"
19,,"6","11613","16"
20,,"3","11611","16"
21,,"6","11613","16"
21,,"6","11613","16"
