"agep","schg","esr","puma"
21,"15","1","11612"
20,"15","1","11610"
21,"15","1","11611"
21,"15","1","11612"
21,"15","1","11614"
21,"15","1","11612"
19,"15","1","11612"
21,"15","1","11611"
20,"15","1","11610"
19,"15","1","11612"
19,"15","1","11611"
20,"15","1","11610"
19,"14","1","11611"
20,"15","1","11611"
19,"15","1","11614"
20,"15","2","11613"
20,"15","1","11612"
19,"15","1","11613"
19,"15","1","11613"
20,"15","1","11612"
21,"15","1","11612"
19,"15","1","11611"
20,"15","1","11612"
21,"15","1","11610"
20,"14","1","11611"
21,"15","1","11611"
20,"15","1","11614"
19,"15","1","11613"
19,"13","1","11611"
19,"15","1","11613"
20,"15","1","11604"
19,"15","1","11611"
19,"15","1","11614"
21,"15","1","11610"
20,"15","1","11613"
21,"15","2","11613"
19,"15","1","11612"
21,"15","1","11611"
19,"15","1","11610"
21,"15","1","11613"
20,"15","1","11612"
19,"15","1","11614"
20,"15","1","11613"
20,"15","1","11614"
21,"16","1","11610"
19,"15","1","11611"
20,"15","1","11613"
20,"15","1","11604"
19,"10","1","11604"
21,"15","1","11610"
19,"14","1","11614"
19,"15","1","11611"
19,"15","1","11611"
21,"15","2","11613"
20,"15","1","11610"
20,"15","1","11611"
20,"15","1","11604"
20,"15","1","11611"
20,"15","1","11613"
19,"15","1","11613"
19,"15","1","11612"
21,"15","1","11611"
20,"15","1","11614"
19,"15","1","11610"
20,"15","1","11610"
20,"15","1","11613"
19,"15","1","11604"
21,"15","1","11613"
19,"14","1","11613"
19,"15","1","11604"
19,"15","1","11604"
19,"15","1","11604"
21,"15","1","11604"
21,"15","1","11604"
20,"15","1","11604"
